pdf name,checked,gri,page nbr,table nbr,question,question_type,question_type_ext,value,row indices,col indices,row/column spanning,firstk,fn_details
['axa_2023.pdf'],1,306,[183],[0],What is the average total waste in tons for the years 2022 and 2023?,QuantitativeResponseGenerator,average,4710.0,"[33, 33]","[3, 4]",0,,"{'type': 'function', 'name': 'average', 'args': [{'name': 'values', 'default': None}, {'name': 'to_str', 'default': True}], 'keywords': {}}"
['axa_2023.pdf'],1,306,[183],[0],What is the increase in the amount of unsorted waste (in tons) from 2022 to 2023?,QuantitativeResponseGenerator,increase_difference,802.0,"[34, 34]","[4, 3]",0,,"{'type': 'function', 'name': 'increase_difference', 'args': [{'name': 'values', 'default': None}, {'name': 'to_str', 'default': True}], 'keywords': {}}"
['axa_2023.pdf'],1,306,[183],[0],What is the sum of the total waste in tons for the years 2022 and 2023?,QuantitativeResponseGenerator,sum,9420.0,"[33, 33]","[4, 3]",0,,"{'type': 'function', 'name': 'sum', 'args': [{'name': 'values', 'default': None}, {'name': 'to_str', 'default': True}], 'keywords': {}}"
['axa_2023.pdf'],1,306,[183],[0],What is the percentage reduction in the amount of unsorted waste from 2022 to 2023?,QuantitativeResponseGenerator,reduction_percentage,29.09,"[34, 34]","[4, 3]",0,,"{'type': 'function', 'name': 'reduction_percentage', 'args': [{'name': 'values', 'default': None}, {'name': 'to_str', 'default': True}], 'keywords': {}}"
['axa_2023.pdf'],1,306,[183],[0],What is the difference in total waste (T) from 2022 to 2023?,QuantitativeResponseGenerator,increase_difference,720.0,"[33, 33]","[4, 3]",0,,"{'type': 'function', 'name': 'increase_difference', 'args': [{'name': 'values', 'default': None}, {'name': 'to_str', 'default': True}], 'keywords': {}}"
['NYSE_TTE_2023.pdf'],1,305,[306],[3],What is the average intensity of GHG emissions (Scope 1+2) of operated upstream oil and gas activities and on equity basis for the year 2022?,QuantitativeResponseGenerator,average,18.0,"[3, 4]","[3, 3]",1,,"{'type': 'function', 'name': 'average', 'args': [{'name': 'values', 'default': None}, {'name': 'to_str', 'default': True}], 'keywords': {}}"
['NYSE_TTE_2023.pdf'],1,305,[306],[3],What is the increase between the intensity of GHG emissions (Scope 1+2) of operated upstream oil & gas activities in 2023 and 2022?,QuantitativeResponseGenerator,increase_difference,0.0,"[3, 3]","[2, 3]",0,,"{'type': 'function', 'name': 'increase_difference', 'args': [{'name': 'values', 'default': None}, {'name': 'to_str', 'default': True}], 'keywords': {}}"
['NYSE_TTE_2023.pdf'],1,305,[306],[3],What is the sum of intensity of GHG emissions (Scope 1+2) of operated upstream oil and gas activities and on equity basis for the year 2021?,QuantitativeResponseGenerator,sum,36.0,"[3, 4]","[4, 4]",1,,"{'type': 'function', 'name': 'sum', 'args': [{'name': 'values', 'default': None}, {'name': 'to_str', 'default': True}], 'keywords': {}}"
['NYSE_TTE_2023.pdf'],1,305,[306],[3],What is the percentage reduction in the intensity of GHG emissions (Scope 1+2) of upstream oil and gas activities on an equity basis from 2021 to 2023?,QuantitativeResponseGenerator,reduction_percentage,5.26,"[4, 4]","[4, 2]",0,,"{'type': 'function', 'name': 'reduction_percentage', 'args': [{'name': 'values', 'default': None}, {'name': 'to_str', 'default': True}], 'keywords': {}}"
['NYSE_TTE_2023.pdf'],1,305,[306],[3],What is the reduction between the intensity of methane emissions from operated oil and gas facilities (Upstream) in 2023 and 2021?,QuantitativeResponseGenerator,reduction_difference,0.02,"[5, 5]","[2, 4]",0,,"{'type': 'function', 'name': 'reduction_difference', 'args': [{'name': 'values', 'default': None}, {'name': 'to_str', 'default': True}], 'keywords': {}}"
['NYSE_TTE_2023.pdf'],1,305,[306],[3],What is the percentage reduction in the intensity of methane emissions from operated oil and gas facilities (Upstream) when comparing the values from 2021 to 2022?,QuantitativeResponseGenerator,reduction_percentage,15.38,"[5, 5]","[4, 3]",0,,"{'type': 'function', 'name': 'reduction_percentage', 'args': [{'name': 'values', 'default': None}, {'name': 'to_str', 'default': True}], 'keywords': {}}"
['NYSE_TTE_2023.pdf'],1,305,[306],[3],"What is the average intensity of methane emissions from operated oil and gas facilities (Upstream) for the years 2023, 2022, 2021, and 2015?",QuantitativeResponseGenerator,average,0.14,"[5, 5, 5, 5]","[2, 3, 4, 5]",0,,"{'type': 'function', 'name': 'average', 'args': [{'name': 'values', 'default': None}, {'name': 'to_str', 'default': True}], 'keywords': {}}"
['NYSE_TTE_2023.pdf'],1,305,[306],[3],What is the increase in the intensity of methane emissions from operated oil and gas facilities (Upstream) between the years 2015 and 2022?,QuantitativeResponseGenerator,increase_difference,-0.12,"[5, 5]","[5, 3]",0,,"{'type': 'function', 'name': 'increase_difference', 'args': [{'name': 'values', 'default': None}, {'name': 'to_str', 'default': True}], 'keywords': {}}"
['NYSE_TTE_2023.pdf'],1,302,[381],[0],What is the average net primary energy consumption (in TWh) from the years 2015 to 2023?,QuantitativeResponseGenerator,average,155.17,"[25, 25, 25, 25, 25, 25]","[2, 3, 4, 5, 6, 7]",0,,"{'type': 'function', 'name': 'average', 'args': [{'name': 'values', 'default': None}, {'name': 'to_str', 'default': True}], 'keywords': {}}"
